country,population,article_name,revision_id,prediction
Algeria,42.7,Template:Algeria-politician-stub,544347736,Stub
Algeria,42.7,Template:Algeria-diplomat-stub,567620838,Stub
Algeria,42.7,Template:AlgerianPres,665948270,Stub
Algeria,42.7,Ali Fawzi Rebaine,686269631,Stub
Algeria,42.7,Ahmed Attaf,705910185,Stub
Algeria,42.7,Ahmed Djoghlaf,707427823,Stub
Algeria,42.7,Hammi Larouissi,708060571,Stub
Algeria,42.7,Salah Goudjil,708980561,Stub
Algeria,42.7,Yazid Zerhouni,711888752,Stub
Algeria,42.7,Saad Dahlab,712810569,Stub
Algeria,42.7,Naima Farhi,713203530,Stub
Algeria,42.7,Mustapha Stambouli,713635313,Stub
Algeria,42.7,Rabeh Kebir,721935284,Stub
Algeria,42.7,Ali Boumendjel,721981996,Start
Algeria,42.7,Mahmoud Cherif,722113361,Stub
Algeria,42.7,Abdelhamid Temmar,739114957,Stub
Algeria,42.7,Abdelhafid Boussouf,740440784,Stub
Algeria,42.7,Abderrachid Boukerzaza,740706219,Stub
Algeria,42.7,Mohamed Boudiaf,746646095,C
Algeria,42.7,Abderrahmane Farès,746764434,Start
Algeria,42.7,Lamine Khene,746936441,Stub
Algeria,42.7,Fatima Zohra Karadja,747481177,Start
Algeria,42.7,Mhamed Yazid,747720470,Start
Algeria,42.7,Rabah Bitat,755092305,Start
Algeria,42.7,Mounia Meslem,757615880,Stub
Algeria,42.7,Mourad Medelci,757817902,Start
Algeria,42.7,Tahar Touati,760143034,Start
Algeria,42.7,Mohamed Ben Ahmed Abdelghani,764203869,Stub
Algeria,42.7,Omar Oussedik,766079623,Start
Algeria,42.7,Mohamed Salah Dembri,766231134,Stub
Algeria,42.7,Fatiha Boudiaf,766231159,Start
Algeria,42.7,Mohamed Boudia,766231165,Start
Algeria,42.7,Ahmed Tewfik El Madani,767405413,Stub
Algeria,42.7,Khalida Toumi,770282657,Start
Algeria,42.7,Lyès Deriche,771832169,Start
Algeria,42.7,Djilali Mehri,772651059,Stub
Algeria,42.7,Mouloud Kacem Naît Belkacem,774806785,Stub
Algeria,42.7,Boualem Bessaïh,776740910,Start
Algeria,42.7,Bakhti Belaïb,776925770,Stub
Algeria,42.7,Karim Djoudi,778326830,Stub
Algeria,42.7,Nadia Boubeghla,779427583,Stub
Algeria,42.7,Zahra Dardouri,779427783,Stub
Algeria,42.7,Nouria Yamina Zerhouni,779427849,Stub
Algeria,42.7,Abdelkader Hachani,780207199,Start
Algeria,42.7,Belaid Abdessalam,780658360,Stub
Algeria,42.7,Smail Hamdani,780665054,Start
Algeria,42.7,Mouloud Hamrouche,780680919,Stub
Algeria,42.7,Ahmed Benbitour,782105275,Stub
Algeria,42.7,Abdennour Abrous,782192657,Stub
